ci95_high,ci95_low,group,mean_delta,metric,module_added,module_step,p_two_sided,paired_sample_count
-0.004598,-0.035389,pentatonic_balanced,-0.019958,cpr,prompt cleaning,A1 minus A0,0.008000,1500
0.182683,-0.718000,pentatonic_balanced,-0.278000,longest_repeat_run,prompt cleaning,A1 minus A0,0.222000,1500
0.071446,0.029379,pentatonic_balanced,0.049849,repetition_score,prompt cleaning,A1 minus A0,0.000000,1500
0.009765,-0.002435,pentatonic_balanced,0.003823,duration_match_ratio,prompt cleaning,A1 minus A0,0.244000,1500
0.016014,-0.068195,pentatonic_balanced,-0.027202,duration_error_sec,prompt cleaning,A1 minus A0,0.172000,1500
0.004281,-0.018002,pentatonic_balanced,-0.006935,psr,prompt cleaning,A1 minus A0,0.258000,1500
0.038310,-0.005700,pentatonic_balanced,0.016635,strong_beat_stable_rate,prompt cleaning,A1 minus A0,0.144000,1500
0.032141,-0.017533,pentatonic_balanced,0.007133,cadence_score,prompt cleaning,A1 minus A0,0.552000,1500
-0.040152,-0.076303,pentatonic_balanced,-0.058024,qualified_rhythm_rate,prompt cleaning,A1 minus A0,0.000000,1500
0.048001,0.035851,pentatonic_balanced,0.041915,objective_score,repetition suppression,A2 minus A1,0.000000,1500
-0.105069,-0.128765,pentatonic_balanced,-0.117083,cpr,repetition suppression,A2 minus A1,0.000000,1500
-1.663317,-2.357433,pentatonic_balanced,-2.000000,longest_repeat_run,repetition suppression,A2 minus A1,0.000000,1500
0.222157,0.184226,pentatonic_balanced,0.203164,repetition_score,repetition suppression,A2 minus A1,0.000000,1500
0.017941,0.006760,pentatonic_balanced,0.012020,duration_match_ratio,repetition suppression,A2 minus A1,0.000000,1500
-0.024477,-0.110204,pentatonic_balanced,-0.067959,duration_error_sec,repetition suppression,A2 minus A1,0.004000,1500
-0.026791,-0.051379,pentatonic_balanced,-0.038809,psr,repetition suppression,A2 minus A1,0.000000,1500
-0.034877,-0.071727,pentatonic_balanced,-0.053739,strong_beat_stable_rate,repetition suppression,A2 minus A1,0.000000,1500
-0.043029,-0.092585,pentatonic_balanced,-0.068133,cadence_score,repetition suppression,A2 minus A1,0.000000,1500
0.091013,0.060276,pentatonic_balanced,0.075043,qualified_rhythm_rate,repetition suppression,A2 minus A1,0.000000,1500
0.030135,0.021842,pentatonic_balanced,0.025943,objective_score,duration matching,A3 minus A2,0.000000,1500
0.021917,0.013891,pentatonic_balanced,0.017765,cpr,duration matching,A3 minus A2,0.000000,1500
0.005333,-0.032683,pentatonic_balanced,-0.014000,longest_repeat_run,duration matching,A3 minus A2,0.140000,1500
-0.026079,-0.039317,pentatonic_balanced,-0.032196,repetition_score,duration matching,A3 minus A2,0.000000,1500
-0.008160,-0.022920,pentatonic_balanced,-0.015795,duration_match_ratio,duration matching,A3 minus A2,0.000000,1500
0.054476,-0.027757,pentatonic_balanced,0.013188,duration_error_sec,duration matching,A3 minus A2,0.506000,1500
0.002975,-0.005971,pentatonic_balanced,-0.001210,psr,duration matching,A3 minus A2,0.574000,1500
0.033766,0.003716,pentatonic_balanced,0.018208,strong_beat_stable_rate,duration matching,A3 minus A2,0.008000,1500
0.026867,-0.013967,pentatonic_balanced,0.006900,cadence_score,duration matching,A3 minus A2,0.504000,1500
0.018608,-0.022326,pentatonic_balanced,-0.001837,qualified_rhythm_rate,duration matching,A3 minus A2,0.840000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,objective_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,cpr,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,longest_repeat_run,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,repetition_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,duration_match_ratio,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,duration_error_sec,motif fallback,A4 minus A3,1.000000,1500
