ablation_variant,ci95_high_cadence_score,ci95_high_compression_score,ci95_high_cpr,ci95_high_duration_error_sec,ci95_high_duration_match_ratio,ci95_high_interval_score,ci95_high_longest_repeat_run,ci95_high_objective_score,ci95_high_pitch_diversity_score,ci95_high_psr,ci95_high_qualified_note_rate,ci95_high_qualified_rhythm_rate,ci95_high_repetition_score,ci95_high_rhythm_score,ci95_high_strong_beat_stable_rate,ci95_high_tonality_score,ci95_low_cadence_score,ci95_low_compression_score,ci95_low_cpr,ci95_low_duration_error_sec,ci95_low_duration_match_ratio,ci95_low_interval_score,ci95_low_longest_repeat_run,ci95_low_objective_score,ci95_low_pitch_diversity_score,ci95_low_psr,ci95_low_qualified_note_rate,ci95_low_qualified_rhythm_rate,ci95_low_repetition_score,ci95_low_rhythm_score,ci95_low_strong_beat_stable_rate,ci95_low_tonality_score,mean_cadence_score,mean_compression_score,mean_cpr,mean_duration_error_sec,mean_duration_match_ratio,mean_interval_score,mean_longest_repeat_run,mean_objective_score,mean_pitch_diversity_score,mean_psr,mean_qualified_note_rate,mean_qualified_rhythm_rate,mean_repetition_score,mean_rhythm_score,mean_strong_beat_stable_rate,mean_tonality_score,preset,rank,sample_count,variant_short
A1_prompt_cleaning,0.465704,0.423418,0.164906,0.967788,0.836384,0.730232,3.648138,0.590501,0.410479,0.601195,0.755617,0.607058,0.762965,0.686570,0.428225,0.494935,0.424430,0.396514,0.137617,0.894400,0.821616,0.699935,2.925195,0.578012,0.374497,0.568883,0.722200,0.570038,0.724154,0.664693,0.388856,0.464162,0.445067,0.409966,0.151261,0.931094,0.829000,0.715083,3.286667,0.584256,0.392488,0.585039,0.738909,0.588548,0.743559,0.675631,0.408540,0.479549,pentatonic_low_temp_no_strongbeat,31,1500,A1
A1_prompt_cleaning,0.487587,0.417576,0.178051,0.928915,0.842697,0.733368,3.963910,0.586366,0.400870,0.608005,0.747430,0.606828,0.743080,0.683573,0.416562,0.500515,0.445946,0.389766,0.149729,0.859009,0.828702,0.703264,3.202756,0.574017,0.365640,0.575568,0.712974,0.569339,0.703095,0.660965,0.377000,0.469707,0.466767,0.403671,0.163890,0.893962,0.835700,0.718316,3.583333,0.580192,0.383255,0.591787,0.730202,0.588083,0.723087,0.672269,0.396781,0.485111,pentatonic_conservative,32,1500,A1
A1_prompt_cleaning,0.468818,0.445868,0.162508,0.973219,0.840426,0.694054,3.661092,0.584539,0.422458,0.590876,0.757767,0.602440,0.750600,0.681054,0.429740,0.492833,0.427182,0.418910,0.136604,0.897435,0.827445,0.663470,2.974908,0.571968,0.387145,0.559230,0.725465,0.567240,0.711579,0.659500,0.391491,0.462946,0.448000,0.432389,0.149556,0.935327,0.833936,0.678762,3.318000,0.578254,0.404802,0.575053,0.741616,0.584840,0.731090,0.670277,0.410615,0.477889,pentatonic_balanced,33,1500,A1
A1_prompt_cleaning,0.457300,0.475200,0.143446,1.067090,0.836126,0.655115,3.120716,0.581888,0.442355,0.583877,0.781218,0.609654,0.756745,0.682378,0.409663,0.479837,0.415700,0.449049,0.121445,0.966187,0.823329,0.626292,2.581950,0.570072,0.407361,0.553275,0.752161,0.576908,0.719695,0.662713,0.371173,0.450493,0.436500,0.462124,0.132446,1.016639,0.829727,0.640704,2.851333,0.575980,0.424858,0.568576,0.766689,0.593281,0.738220,0.672546,0.390418,0.465165,pentatonic_no_theory,34,1500,A1
A0_raw_amt,0.472290,0.399955,0.192836,0.973788,0.836195,0.731596,4.012631,0.576098,0.398315,0.598091,0.745333,0.641983,0.708416,0.685010,0.409833,0.489994,0.430777,0.372539,0.164116,0.901686,0.821947,0.700500,3.298035,0.564119,0.362907,0.565713,0.709153,0.604018,0.666423,0.664249,0.370478,0.459066,0.451533,0.386247,0.178476,0.937737,0.829071,0.716048,3.655333,0.570109,0.380611,0.581902,0.727243,0.623000,0.687420,0.674630,0.390155,0.474530,pentatonic_low_temp_no_strongbeat,35,1500,A0
A1_prompt_cleaning,0.445231,0.509726,0.116683,1.184206,0.827375,0.598036,2.466514,0.575716,0.417859,0.576002,0.799188,0.604359,0.783881,0.684130,0.413797,0.474158,0.404169,0.485247,0.098439,1.069714,0.814483,0.570536,2.112153,0.564302,0.383401,0.546748,0.773173,0.573438,0.749451,0.666645,0.375593,0.446355,0.424700,0.497487,0.107561,1.126960,0.820929,0.584286,2.289333,0.570009,0.400630,0.561375,0.786181,0.588899,0.766666,0.675387,0.394695,0.460257,pentatonic_creative,36,1500,A1
A0_raw_amt,0.470775,0.396602,0.202314,0.989066,0.834435,0.738235,4.352159,0.575870,0.391660,0.603289,0.752538,0.657745,0.698108,0.692797,0.405634,0.489920,0.429358,0.368828,0.172805,0.909771,0.819589,0.707407,3.541175,0.563627,0.355686,0.570498,0.716693,0.619500,0.655078,0.671681,0.366417,0.458737,0.450067,0.382715,0.187560,0.949419,0.827012,0.722821,3.946667,0.569748,0.373673,0.586893,0.734616,0.638623,0.676593,0.682239,0.386025,0.474329,pentatonic_conservative,37,1500,A0
A0_raw_amt,0.461418,0.432065,0.182787,1.002614,0.836817,0.694030,3.955002,0.574575,0.413379,0.597827,0.762431,0.660682,0.702232,0.691758,0.413348,0.487082,0.420315,0.404894,0.156240,0.922443,0.823409,0.663278,3.236998,0.562699,0.378067,0.566149,0.728995,0.625045,0.660249,0.671544,0.374613,0.457475,0.440867,0.418480,0.169514,0.962529,0.830113,0.678654,3.596000,0.568637,0.395723,0.581988,0.745713,0.642864,0.681241,0.681651,0.393980,0.472278,pentatonic_balanced,38,1500,A0
A0_raw_amt,0.438508,0.451090,0.154206,1.015787,0.839076,0.642381,3.249585,0.568223,0.431423,0.580113,0.781402,0.650156,0.720998,0.687750,0.398506,0.468518,0.397158,0.425188,0.132008,0.933450,0.827068,0.612894,2.705082,0.556788,0.396680,0.549570,0.751156,0.616480,0.681292,0.668996,0.360460,0.439588,0.417833,0.438139,0.143107,0.974619,0.833072,0.627637,2.977333,0.562505,0.414052,0.564841,0.766279,0.633318,0.701145,0.678373,0.379483,0.454053,pentatonic_no_theory,39,1500,A0
A1_prompt_cleaning,0.441449,0.557508,0.092279,1.639019,0.794987,0.514693,2.001013,0.562098,0.380174,0.567245,0.831503,0.598452,0.808953,0.680351,0.399437,0.465132,0.400484,0.535779,0.079131,1.465865,0.780814,0.490234,1.854987,0.551698,0.345422,0.539808,0.810823,0.571220,0.778405,0.665885,0.362107,0.438378,0.420967,0.546644,0.085705,1.552442,0.787900,0.502464,1.928000,0.556898,0.362798,0.553527,0.821163,0.584836,0.793679,0.673118,0.380772,0.451755,pentatonic_creative_wide,40,1500,A1
A0_raw_amt,0.431152,0.491949,0.138808,1.134359,0.830951,0.600050,2.830735,0.559745,0.400079,0.569927,0.799112,0.647386,0.725421,0.688620,0.386408,0.458330,0.390515,0.467586,0.119693,1.031597,0.819586,0.572597,2.433265,0.548436,0.366272,0.540742,0.772971,0.616191,0.687655,0.672072,0.348960,0.430904,0.410833,0.479767,0.129251,1.082978,0.825268,0.586324,2.632000,0.554091,0.383175,0.555335,0.786041,0.631789,0.706538,0.680346,0.367684,0.444617,pentatonic_creative,41,1500,A0
A0_raw_amt,0.416480,0.536307,0.113137,1.504397,0.801337,0.518146,2.348501,0.546086,0.355921,0.555838,0.826136,0.623371,0.760374,0.681714,0.387666,0.449155,0.375454,0.514400,0.097446,1.356175,0.787986,0.493402,2.122166,0.535345,0.322215,0.528533,0.803983,0.594962,0.725765,0.667465,0.350453,0.422320,0.395967,0.525354,0.105291,1.430286,0.794662,0.505774,2.235333,0.540715,0.339068,0.542186,0.815060,0.609166,0.743070,0.674589,0.369060,0.435737,pentatonic_creative_wide,42,1500,A0
